Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Bertrand Traoré,Forward,8,2,0.25,0,0,2,0,0,9,3,33%,0,0,0,68,8.50,0,5,,,,1,0,2,3,1,,5,2,0,0,,,,,,,,,,,,,,,,,,,,
Mark Travers,Goalkeeper,12,0,,,,,,,,,,,,0,313,26.08,,,,,81,0,0,0,,,,,,,,,,,,,,0,36,0,5,5,0,1,54,118,2,32,0,,
Ryan Trevitt,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Trézéguet,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Trincão,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,Defender,38,1,,0,1,0,,,,,,1,,7,"2,064",54.32,24,393,34%,16,148,5,0,48,7,71,69%,8,43,75,45,264,168,146,19,49,35,1,,,,,,,,,14,31,1,0,3
Leandro Trossard,Forward,36,8,0.22,0,2,6,0,0,55,23,42%,3,3,12,861,23.92,9,90,,,,1,0,19,8,22,,17,12,2,0,,,,,,,,,,,,,,,,,,,,
Nathan Trott,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Auston Trusty,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Kostas Tsimikas,Defender,20,0,,0,0,0,,,,,,0,,4,444,22.20,1,85,24%,1,17,3,0,13,0,14,64%,4,12,14,6,50,34,41,4,7,7,0,,,,,,,,,1,11,0,0,0
Antef Tsoungui,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Axel Tuanzebe,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Matt Turner,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Ed Turns,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Tyler Roberts,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Harry Tyrer,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
