Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Jean-Philippe Gbamin,Midfielder,2,0.0,4.0,75%,0.0,0.0,1.0,4.0,3.0,0.0,8.0,11.0,10.0,2.0,3.0,2.0,0,70,35.0,0.0,0.0,0%,0.0,2.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,"hamstring injury, archilles tendon rupture and inner ligament injury",18-Aug-19,30-Jun-21
Jack Grealish,Midfielder,36,0.0,29.0,66%,0.0,18.0,22.0,10.0,4.0,0.0,188.0,289.0,182.0,73.0,22.0,27.0,6,"1,371",38.08,8.0,141.0,20%,2.0,81.0,8,0,34,8,0.0,5.0,3.0,2.0,0.22,0.0,73.0,23.0,32%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2019/20,Calf injury,27-Oct-19,24-Nov-19
Mason Greenwood,Forward,31,0.0,17.0,0,0.0,7.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,495,15.97,1.0,10.0,0,0.0,0.0,0,0,12,10,0.0,2.0,8.0,1.0,0.32,0.0,39.0,20.0,51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2019/20,Tonsillitis,20-Sep-19,23-Sep-19
Tom Heaton,Goalkeeper,20,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,527,26.35,0.0,0.0,0,0.0,118.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.0,0.0,6.0,10.0,7.0,7.0,99.0,195.0,34.0,2019/20,Cruciate ligament injury,1-Jan-20,7-Nov-20
Tom Heaton,Goalkeeper,20,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,527,26.35,0.0,0.0,0,0.0,118.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,68.0,0.0,6.0,10.0,7.0,7.0,99.0,195.0,34.0,2019/20,Calf strain,10-Nov-19,25-Nov-19
Mason Holgate,Defender,27,5.0,44.0,59%,0.0,1.0,34.0,94.0,39.0,1.0,126.0,120.0,70.0,10.0,44.0,36.0,3,"1,058",39.19,3.0,2.0,50%,2.0,113.0,5,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2019/20,calf injury,7-Jul-20,15-Jul-20
Alex Iwobi,Forward,25,0.0,25.0,0,0.0,5.0,14.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,557,22.28,2.0,48.0,0,0.0,0.0,0,0,12,1,1.0,0.0,0.0,2.0,0.04,0.0,23.0,10.0,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2019/20,hamstring injury,23-Dec-19,27-Jan-20
Moise Kean,Forward,29,0.0,6.0,0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,125,4.31,5.0,12.0,0,0.0,0.0,1,0,27,2,0.0,2.0,0.0,0.0,0.07,0.0,30.0,13.0,43%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2019/20,knee injury,17-Jul-20,25-Jul-20
Michael Keane,Defender,31,7.0,31.0,52%,0.0,1.0,44.0,150.0,91.0,0.0,127.0,169.0,121.0,1.0,130.0,90.0,0,"1,447",46.68,1.0,0.0,0%,2.0,91.0,3,0,20,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,neck injury,17-Jan-20,20-Jan-20
Sead Kolasinac,Defender,26,3.0,29.0,55%,0.0,1.0,25.0,33.0,26.0,0.0,103.0,88.0,66.0,16.0,28.0,19.0,2,900,34.62,2.0,29.0,21%,0.0,21.0,4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Hamstring injury,17-Nov-19,30-Nov-19
Sead Kolasinac,Defender,26,3.0,29.0,55%,0.0,1.0,25.0,33.0,26.0,0.0,103.0,88.0,66.0,16.0,28.0,19.0,2,900,34.62,2.0,29.0,21%,0.0,21.0,4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Arm injury,24-Feb-20,15-Jun-20
