Name,Team Name,Position,Age,Season,Injury,Date of Injury,Date of return
Ben White,Arsenal,Right Back,24,2021/22,Hamstring injury,25-Apr-22,15-May-22
Takehiro Tomiyasu,Arsenal,Right Back,23,2021/22,Calf injury,20-Feb-22,21-Apr-22
Gabriel Martinelli,Arsenal,Left winger,22,2022/23,Ankle injury,14-May-23,1-Jun-23
Eddie Nketiah,Arsenal,Center Forward,24,2022/23,Ankle injury,2-Mar-23,13-Apr-23
William Saliba,Arsenal,Center Back,22,2022/23,Back injury,16-Mar-23,1-Jul-23
Thomas Partey,Arsenal,Defensive Midfielder,30,2022/23,Thigh problems,25-Aug-22,15-Sep-22
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,Thigh problems,27-Aug-22,1-Nov-22
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,Knee injury,14-Jan-23,20-Sep-23
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,muscular problems,3-Nov-22,15-Nov-22
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,Knee surgery,16-Mar-23,1-Jul-23
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,Knee problems and Calf injury,26-Aug-22,1-Nov-22
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,unknown injury,14-Apr-23,17-Apr-23
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,Calf muscle tear,7-May-23,18-Aug-23
Gabriel Jesus,Arsenal,Center Forward,26,2022/23,Knee injury,2-Dec-22,11-Mar-23
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,Hamstring injury,17-Sep-23,7-Oct-23
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,Foot injury,5-Mar-24,29-Mar-24
Bukayo Saka,Arsenal,Right winger,22,2023/24,unknown injury,21-Mar-24,6-Apr-24
Bukayo Saka,Arsenal,Right winger,22,2023/24,Thigh problems,3-Oct-23,21-Oct-23
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,Groin injury,2-Sep-23,3-Oct-23
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,Hamstring injury,9-Nov-23,29-Feb-24
Martin Ødegaard,Arsenal,Attacking Midfielder,25,2023/24,Hip problems,3-Nov-23,22-Nov-23
Ben White,Arsenal,Right Back,26,2023/24,Knee injury,9-Nov-23,20-Nov-23
Takehiro Tomiyasu,Arsenal,Right Back,25,2023/24,Calf injury,3-Dec-23,20-Mar-24
Oleksandr Zinchenko,Arsenal,Left Back,27,2023/24,Calf problems,30-Dec-23,18-Jan-24
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,Hamstring injury,24-Oct-23,19-Nov-23
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,Knee injury,5-Jan-24,18-Jan-24
Tyrone Mings,Aston Villa,Center Back,28,2019/20,Muscle strain,9-Dec-19,31-Dec-19
Jed Steer,Aston Villa,Goalkeeper,27,2019/20,Calf injury,11-Nov-19,15-Jun-20
Anwar El Ghazi,Aston Villa,Right winger,24,2019/20,Knee injury,2-Dec-19,7-Dec-19
Matt Targett,Aston Villa,Left Back,24,2019/20,Muscle strain,28-Jun-20,11-Jul-20
Matt Targett,Aston Villa,Left Back,24,2019/20,Hamstring injury,31-Dec-19,17-Jan-20
Matt Targett,Aston Villa,Left Back,24,2019/20,Hamstring injury,29-Aug-19,24-Sep-19
Jack Grealish,Aston Villa,Left winger,24,2019/20,Calf injury,27-Oct-19,24-Nov-19
Neil Taylor,Aston Villa,Left Back,31,2019/20,Hamstring injury,13-Jul-20,25-Jul-20
Björn Engels,Aston Villa,Center Back,25,2019/20,Groin injury,3-Nov-19,30-Nov-19
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,Cruciate ligament injury,1-Jan-20,7-Nov-20
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,Calf strain,10-Nov-19,25-Nov-19
Matty Cash,Aston Villa,Right Back,24,2020/21,Hamstring injury,18-Feb-21,"Mar 7, 0202"
Ezri Konsa,Aston Villa,Center Back,23,2020/21,bruise,13-Dec-20,25-Dec-20
Kortney Hause,Aston Villa,Center Back,25,2020/21,Ankle injury,3-Jan-21,5-Apr-21
Bertrand Traoré,Aston Villa,Right winger,24,2020/21,Bruised ribs,2-Nov-20,20-Nov-20
